make,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,normalized-losses,symboling,price
toyota,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2714,52,65.6,176.2,98.4,front,rwd,hatchback,2,std,gas,134,2,11549
toyota,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2975,53,65.6,176.2,98.4,front,rwd,convertible,2,std,gas,134,2,17669
toyota,34,29,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2326,54.9,66.5,175.6,102.4,front,fwd,sedan,4,std,gas,65,-1,8948
toyota,33,30,4500,73,22.5,3.35,3.27,idi,110,4,ohc,2480,54.9,66.5,175.6,102.4,front,fwd,sedan,4,turbo,diesel,65,-1,10698
toyota,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2414,53.9,66.5,175.6,102.4,front,fwd,hatchback,4,std,gas,65,-1,9988
toyota,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2414,54.9,66.5,175.6,102.4,front,fwd,sedan,4,std,gas,65,-1,10898
toyota,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2458,53.9,66.5,175.6,102.4,front,fwd,hatchback,4,std,gas,65,-1,11248
toyota,24,20,5200,161,9.3,3.35,3.27,mpfi,171,6,dohc,2976,52,67.7,183.5,102.9,front,rwd,hatchback,2,std,gas,197,3,16558
toyota,24,19,5200,161,9.3,3.35,3.27,mpfi,171,6,dohc,3016,52,67.7,183.5,102.9,front,rwd,hatchback,2,std,gas,197,3,15998
toyota,24,20,5200,156,9.2,3.35,3.27,mpfi,171,6,dohc,3131,54.1,66.5,187.8,104.5,front,rwd,sedan,4,std,gas,90,-1,15690
toyota,24,19,5200,156,9.2,3.35,3.27,mpfi,161,6,dohc,3151,54.1,66.5,187.8,104.5,front,rwd,wagon,4,std,gas,,-1,15750
volkswagen,46,37,4800,52,23,3.4,3.01,idi,97,4,ohc,2261,55.7,65.5,171.7,97.3,front,fwd,sedan,2,std,diesel,122,2,7775
volkswagen,34,27,5250,85,9,3.4,3.19,mpfi,109,4,ohc,2209,55.7,65.5,171.7,97.3,front,fwd,sedan,2,std,gas,122,2,7975
volkswagen,46,37,4800,52,23,3.4,3.01,idi,97,4,ohc,2264,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,diesel,94,2,7995
volkswagen,34,27,5250,85,9,3.4,3.19,mpfi,109,4,ohc,2212,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,94,2,8195
volkswagen,34,27,5250,85,9,3.4,3.19,mpfi,109,4,ohc,2275,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,94,2,8495
volkswagen,42,37,4500,68,23,3.4,3.01,idi,97,4,ohc,2319,55.7,65.5,171.7,97.3,front,fwd,sedan,4,turbo,diesel,94,2,9495
volkswagen,32,26,5500,100,10,3.4,3.19,mpfi,109,4,ohc,2300,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,94,2,9995
volkswagen,29,24,5500,90,8.5,3.4,3.19,mpfi,109,4,ohc,2254,55.6,64.2,159.3,94.5,front,fwd,convertible,2,std,gas,,3,11595
volkswagen,29,24,5500,90,8.5,3.4,3.19,mpfi,109,4,ohc,2221,51.4,64,165.7,94.5,front,fwd,hatchback,2,std,gas,256,3,9980
volkswagen,24,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2661,55.1,66.9,180.2,100.4,front,fwd,sedan,4,std,gas,,0,13295
volkswagen,38,33,4500,68,23,3.4,3.01,idi,97,4,ohc,2579,55.1,66.9,180.2,100.4,front,fwd,sedan,4,turbo,diesel,,0,13845
volkswagen,31,25,5500,88,9,3.4,3.19,mpfi,109,4,ohc,2563,55.1,66.9,183.1,100.4,front,fwd,wagon,4,std,gas,,0,12290
volvo,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2912,56.2,67.2,188.8,104.3,front,rwd,sedan,4,std,gas,103,-2,12940
volvo,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3034,57.5,67.2,188.8,104.3,front,rwd,wagon,4,std,gas,74,-1,13415
volvo,28,24,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2935,56.2,67.2,188.8,104.3,front,rwd,sedan,4,std,gas,103,-2,15985
volvo,28,24,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3042,57.5,67.2,188.8,104.3,front,rwd,wagon,4,std,gas,74,-1,16515
volvo,22,17,5100,162,7.5,3.15,3.62,mpfi,130,4,ohc,3045,56.2,67.2,188.8,104.3,front,rwd,sedan,4,turbo,gas,103,-2,18420
volvo,22,17,5100,162,7.5,3.15,3.62,mpfi,130,4,ohc,3157,57.5,67.2,188.8,104.3,front,rwd,wagon,4,turbo,gas,74,-1,18950
volvo,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2952,55.5,68.9,188.8,109.1,front,rwd,sedan,4,std,gas,95,-1,16845
volvo,25,19,5300,160,8.7,3.15,3.78,mpfi,141,4,ohc,3049,55.5,68.8,188.8,109.1,front,rwd,sedan,4,turbo,gas,95,-1,19045
volvo,23,18,5500,134,8.8,2.87,3.58,mpfi,173,6,ohcv,3012,55.5,68.9,188.8,109.1,front,rwd,sedan,4,std,gas,95,-1,21485
volvo,27,26,4800,106,23,3.4,3.01,idi,145,6,ohc,3217,55.5,68.9,188.8,109.1,front,rwd,sedan,4,turbo,diesel,95,-1,22470
volvo,25,19,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3062,55.5,68.9,188.8,109.1,front,rwd,sedan,4,turbo,gas,95,-1,22625
